City Name,Lat,Long ,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Clonakilty,51.62,-8.87,62.01,93,40,8.05,IE,1599103344
Lavrentiya,65.58,-171.0,41.95,73,99,8.84,RU,1599103197
Dosso,13.05,3.19,76.06,86,99,4.9,NE,1599103344
High Level,58.52,-117.14,55.4,87,75,2.24,CA,1599103345
Cherskiy,68.75,161.3,46.18,56,24,9.48,RU,1599102901
Gobabis,-22.45,18.97,53.94,31,1,4.5,NA,1599103345
Dubti,11.74,41.09,87.73,48,47,4.0,ET,1599103345
Dawlatabad,36.41,64.91,76.96,19,0,5.48,AF,1599103345
Marathon,44.9,-89.77,63.0,77,1,4.7,US,1599103346
Umluj,25.02,37.27,85.98,49,4,8.97,SA,1599103232
Caravelas,-17.71,-39.25,70.0,86,7,8.97,BR,1599103191
Barvinkove,48.91,37.02,68.76,36,0,12.17,UA,1599103346
Port-Gentil,-0.72,8.78,75.11,85,100,12.57,GA,1599103346
Pangody,65.85,74.49,46.81,76,100,15.01,RU,1599103173
Rūdsar,37.14,50.29,71.6,83,27,4.07,IR,1599103347
Kualakapuas,-3.01,114.39,77.0,94,40,3.36,ID,1599103347
Ojinaga,29.57,-104.42,93.2,17,1,16.11,MX,1599103347
Marataizes,-21.04,-40.82,69.28,83,0,7.2,BR,1599103348
Charters Towers,-20.1,146.27,77.34,44,48,8.99,AU,1599103139
Oddur,4.12,43.89,69.24,75,61,13.04,SO,1599103348
Hinton,53.4,-117.59,52.18,52,89,2.64,CA,1599103348
Nha Trang,12.25,109.18,91.4,66,20,5.82,VN,1599103260
Lagoa,39.05,-27.98,72.66,80,11,4.72,PT,1599103155
Zhezkazgan,47.8,67.71,71.6,24,75,6.71,KZ,1599103151
Taoudenni,22.68,-3.98,97.12,26,91,8.32,ML,1599103182
Puerto del Rosario,28.5,-13.86,73.4,83,75,13.87,ES,1599103349
Tomatlán,19.93,-105.25,76.62,93,8,1.39,MX,1599103349
Marzuq,14.4,46.47,78.93,52,54,6.67,YE,1599103236
Qaqortoq,60.72,-46.03,42.8,52,0,5.82,GL,1599103350
Vila Velha,-20.33,-40.29,68.0,94,40,0.92,BR,1599103275
Puqi,29.72,113.88,84.76,51,0,3.76,CN,1599103350
Fortuna,40.6,-124.16,60.01,93,1,6.93,US,1599103091
Uyuni,-20.46,-66.83,38.39,43,0,11.07,BO,1599103350
Bathsheba,13.22,-59.52,80.6,78,75,12.75,BB,1599103230
Gritsovskiy,54.14,38.16,53.96,84,1,11.79,RU,1599103351
Strezhevoy,60.73,77.59,46.4,93,90,8.95,RU,1599103351
Gardez,33.6,69.23,63.84,46,0,2.71,AF,1599103352
Paraná,-31.73,-60.52,50.0,95,95,4.0,AR,1599103352
Wajima,37.4,136.9,95.0,50,75,10.29,JP,1599103352
Verāval,20.9,70.37,80.76,81,100,5.44,IN,1599103352
Mt. Pleasant,32.79,-79.86,84.99,94,1,11.05,US,1599103062
Ruteng,-8.61,120.47,77.34,64,36,2.08,ID,1599103353
Muros,42.78,-9.06,63.0,83,0,6.91,ES,1599103353
Sheridan,44.83,-106.92,66.2,42,90,16.11,US,1599103353
Salalah,17.02,54.09,77.0,100,90,6.93,OM,1599103193
Dicabisagan,17.08,122.42,88.07,64,100,3.69,PH,1599103354
Sept-Îles,50.2,-66.38,55.0,100,90,8.05,CA,1599102918
El Tigre,8.89,-64.25,69.98,91,100,6.11,VE,1599103354
Anjiang,27.32,110.1,77.85,64,98,1.7,CN,1599103354
Okhotsk,59.38,143.3,53.83,89,100,7.7,RU,1599103218
Sunrise Manor,36.21,-115.07,100.4,12,1,1.45,US,1599103354
Batagay,67.63,134.63,60.55,36,6,4.36,RU,1599103355
Kolokani,13.57,-8.03,70.99,95,47,11.5,ML,1599103355
Khovd,48.01,91.64,68.68,25,0,2.93,MN,1599103191
Yar-Sale,66.83,70.83,45.97,79,100,16.73,RU,1599103107
Takoradze,4.88,-1.76,75.09,90,98,9.51,GH,1599103355
The Valley,18.22,-63.06,82.0,78,40,10.29,AI,1599103259
Ubari,26.59,12.78,81.57,16,0,7.72,LY,1599103356
Half Moon Bay,37.46,-122.43,64.0,87,90,5.82,US,1599103266
Raja,8.46,25.68,67.89,97,100,4.34,SS,1599103165
Ballarat,-37.57,143.85,64.99,43,47,14.0,AU,1599103356
Maïné Soroa,13.21,12.02,79.39,72,86,4.14,NE,1599103356
Rock Sound,24.9,-76.2,84.47,81,0,16.78,BS,1599103357
Yarumal,6.96,-75.42,54.81,100,99,0.47,CO,1599103357
Olinda,-8.01,-34.86,73.4,88,40,5.82,BR,1599103191
Buala,-8.14,159.59,84.81,75,37,9.84,SB,1599103357
Anshan,41.12,122.99,64.24,92,100,12.59,CN,1599103182
Ipixuna,-1.76,-48.8,78.8,83,30,11.41,BR,1599103358
Rantauprapat,2.1,99.83,81.82,76,91,1.1,ID,1599103358
Kirksville,40.19,-92.58,72.0,82,1,5.82,US,1599103353
Cavalcante,-13.8,-47.46,67.98,41,0,6.17,BR,1599103359
Bubanza Province,-3.12,29.4,68.13,41,1,2.42,BI,1599103359
Clyde River,70.47,-68.59,41.0,86,90,11.41,CA,1599102897
Blagoyevo,63.37,47.92,42.53,89,66,2.46,RU,1599103359
Ulagan,50.63,87.96,66.38,37,0,1.61,RU,1599103360
Baiyin,36.56,104.21,70.0,55,44,2.24,CN,1599103360
Hailākāndi,24.68,92.57,84.63,80,57,1.3,IN,1599103360
Pisco,-13.7,-76.22,60.01,82,0,3.36,PE,1599103134
Katsuura,35.13,140.3,89.01,83,40,17.22,JP,1599102920
Sarangani,5.4,125.46,85.17,71,87,10.49,PH,1599103361
Khāsh,28.22,61.22,69.31,23,0,8.86,IR,1599103361
Iracoubo,5.48,-53.2,79.3,83,10,11.65,GF,1599103361
Thunder Bay,48.4,-89.32,59.0,87,90,2.64,CA,1599103362
Laas,46.62,10.7,48.99,100,5,3.36,IT,1599103362
San Policarpo,12.18,125.51,86.09,69,100,8.61,PH,1599103362
Ekangala,-25.7,28.75,53.6,81,0,3.36,ZA,1599103362
Muroto-misakicho,33.28,134.15,87.8,74,75,16.11,JP,1599103363
Elliot,-31.33,27.85,50.29,76,18,2.66,ZA,1599103363
Sindor,62.86,51.89,40.01,77,0,4.72,RU,1599103363
Djenné,13.91,-4.55,76.19,77,100,6.82,ML,1599103363
Dindori,22.95,81.08,77.09,79,29,3.83,IN,1599103363
Newport,51.59,-3.0,64.99,98,100,1.99,GB,1599103364
Tilichiki,60.47,166.1,51.91,70,96,9.69,RU,1599103364
Pangnirtung,66.15,-65.71,46.22,70,95,7.23,CA,1599103142
Gazli,40.13,63.45,79.39,18,0,6.51,UZ,1599103364
Vilhena,-12.74,-60.15,74.08,27,0,2.35,BR,1599103365
Kuopio,62.89,27.68,50.0,93,35,6.93,FI,1599103365
Vitim,59.45,112.56,58.98,81,98,9.84,RU,1599103365
Manavālakurichi,8.13,77.3,84.2,74,40,2.24,IN,1599103365
Dhone,15.42,77.88,79.92,72,100,4.05,IN,1599103365
Talnakh,69.49,88.4,42.8,100,97,11.18,RU,1599103183
Kita,13.03,-9.49,70.03,97,44,5.41,ML,1599103366
Bilibino,68.05,166.44,42.46,62,96,11.5,RU,1599103159
Faya,18.39,42.45,64.4,72,19,3.36,SA,1599103184
Jiexiu,37.02,111.91,76.01,28,0,9.53,CN,1599103244
Palana,59.12,159.97,50.14,71,8,11.07,RU,1599103367
Thohoyandou,-22.95,30.48,54.48,94,78,2.26,ZA,1599103133
Chernyakhovsk,54.63,21.82,51.24,94,53,9.86,RU,1599103367
Funtua,11.52,7.31,67.53,97,97,7.47,NG,1599103367
Olenino,56.21,33.49,53.01,88,93,10.54,RU,1599103368
Liverpool,53.41,-2.98,64.0,65,100,1.01,GB,1599103183
Iqaluit,63.75,-68.51,42.8,93,90,6.93,CA,1599103214
Mazagão,-0.12,-51.29,82.4,94,40,5.82,BR,1599103368
Oyëk,52.59,104.46,62.6,72,20,4.47,RU,1599103368
Balezino,57.98,53.01,45.52,89,0,6.71,RU,1599103369
São João da Barra,-21.64,-41.05,71.01,87,0,8.72,BR,1599103369
Lahaina,20.88,-156.68,86.0,54,20,11.41,US,1599103278
San Fernando,15.03,120.69,87.8,74,40,4.7,PH,1599103205
Taraclia,45.9,28.67,69.3,53,66,8.93,MD,1599103369
Asău,46.43,26.4,63.0,83,78,2.71,RO,1599103175
Ishinomaki,38.42,141.3,84.2,83,20,20.8,JP,1599103370
Ekhabi,53.51,142.97,64.35,75,70,4.9,RU,1599103370
Sørland,67.67,12.69,59.0,67,83,3.36,NO,1599103370
Taltal,-25.4,-70.48,53.6,76,0,2.28,CL,1599103119
Ketchikan,55.34,-131.65,53.6,100,90,9.17,US,1599103371
Orange Cove,36.62,-119.31,84.0,42,1,5.82,US,1599103371
Ouésso,1.61,16.05,69.51,95,89,1.59,CG,1599103371
Vizianagaram,18.12,83.42,84.2,89,40,2.24,IN,1599103371
Yulara,-25.24,130.99,75.2,16,0,6.93,AU,1599103179
Kyshtovka,56.55,76.63,53.01,91,100,16.4,RU,1599103372
Ełk,53.83,22.36,49.05,94,15,7.81,PL,1599103372
Zhangjiakou,40.81,114.88,67.46,45,3,14.27,CN,1599103372
Baruun-Urt,46.68,113.28,62.96,48,0,5.77,MN,1599103373
Salinas,36.68,-121.66,66.2,77,1,10.29,US,1599103373
Vendas Novas,38.68,-8.46,73.4,93,0,2.24,PT,1599103373
Toktogul,41.87,72.94,66.79,62,100,0.38,KG,1599103373
Yumen,40.28,97.2,80.28,14,0,11.86,CN,1599103374
Monforte de Lemos,42.52,-7.51,59.0,75,1,1.01,ES,1599103374
Kantang,7.41,99.52,82.4,83,20,2.24,TH,1599103374
Bemidji,47.47,-94.88,68.0,56,1,17.22,US,1599103374
Morondava,-20.28,44.28,70.21,69,0,9.42,MG,1599103374
Bandarbeyla,9.49,50.81,77.2,73,12,19.3,SO,1599103375
Jōetsu,37.15,138.24,93.52,50,8,6.8,JP,1599103375
Shache,38.42,77.24,80.22,17,0,4.94,CN,1599103375
Anzio,41.49,12.62,68.0,88,5,5.82,IT,1599103375
Redmond,47.67,-122.12,71.01,72,0,5.26,US,1599103335
Whitehorse,60.72,-135.05,53.6,62,75,10.29,CA,1599102912
Castrillón,43.4,-6.79,59.0,93,18,2.24,ES,1599103376
Yershov,51.35,48.28,53.24,76,0,11.41,RU,1599103376
Careiro da Várzea,-3.2,-59.81,82.4,74,20,3.36,BR,1599103376
Port Hawkesbury,45.62,-61.35,59.0,93,1,9.17,CA,1599103377
Tagusao,9.19,117.81,86.76,64,31,1.45,PH,1599103377
Riyadh,24.69,46.72,82.4,30,0,4.29,SA,1599103377
Severo-Kuril'sk,50.68,156.12,56.71,82,99,16.53,RU,1599103145
Poptún,16.33,-89.42,70.39,99,100,0.96,GT,1599103377
Vysokogornyy,50.12,139.15,72.86,67,78,4.59,RU,1599103378
